SampleID,Building_Name,Main_Area,Main_Area_short,Main_Area_simplified_for_PERMANOVA,FloorVSnotFloor_for_PERMANOVA,Area_details,Material,Material_simplified,Material_simplified_PERMANOVA,BuildingType
blank_noSwab_mid,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab,other,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab
blank_noSwab_mid_180917234129,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab,other,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab
blank_noSwab_mid_180918055522,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab,other,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab
blank_noSwab_mid_180918120910,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab,other,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab
blank_noSwab_mid_180918182258,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab,other,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab
blank_noSwab_mid_180919003642,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab,other,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab
blank_noSwab_mid_180919063708,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab,other,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab
blank_noSwab_mid_180919130413,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab,other,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab
blank_noSwab_mid_180919132234,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab,other,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab
blank_noSwab_mid_180919193628,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab,other,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab
blank_noSwab_mid_180920020336,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab,other,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab,blank_noSwab
blank_swab_end,blank_swab,blank_swab,blank_swab,blank_swab,other,blank_swab,blank_swab,blank_swab,blank_swab,blank_swab
blank_swab_mid,blank_swab,blank_swab,blank_swab,blank_swab,other,blank_swab,blank_swab,blank_swab,blank_swab,blank_swab
blank_swab_mid_180918024820,blank_swab,blank_swab,blank_swab,blank_swab,other,blank_swab,blank_swab,blank_swab,blank_swab,blank_swab
blank_swab_mid_180918084856,blank_swab,blank_swab,blank_swab,blank_swab,other,blank_swab,blank_swab,blank_swab,blank_swab,blank_swab
blank_swab_mid_180918151601,blank_swab,blank_swab,blank_swab,blank_swab,other,blank_swab,blank_swab,blank_swab,blank_swab,blank_swab
blank_swab_mid_180918212952,blank_swab,blank_swab,blank_swab,blank_swab,other,blank_swab,blank_swab,blank_swab,blank_swab,blank_swab
blank_swab_mid_180919033017,blank_swab,blank_swab,blank_swab,blank_swab,other,blank_swab,blank_swab,blank_swab,blank_swab,blank_swab
blank_swab_mid_180919095718,blank_swab,blank_swab,blank_swab,blank_swab,other,blank_swab,blank_swab,blank_swab,blank_swab,blank_swab
blank_swab_mid_180919162931,blank_swab,blank_swab,blank_swab,blank_swab,other,blank_swab,blank_swab,blank_swab,blank_swab,blank_swab
blank_swab_mid_180919224326,blank_swab,blank_swab,blank_swab,blank_swab,other,blank_swab,blank_swab,blank_swab,blank_swab,blank_swab
blank_swab_start,blank_swab,blank_swab,blank_swab,blank_swab,other,blank_swab,blank_swab,blank_swab,blank_swab,blank_swab
blank_swab_start2,blank_swab,blank_swab,blank_swab,blank_swab,other,blank_swab,blank_swab,blank_swab,blank_swab,blank_swab
P1_A1,Physical_Sciences,stair_handrail,stair_handrail,stair_handrail,other,"bottom_Second to third floor from main lobby, right side",metal,metal,metal,teaching
P1_A10,Physical_Sciences,couch_Rarmrest,couch_Rarmrest,couch,other,couch2,Wood,wood,wood,teaching
P1_A11,Physical_Sciences,couch_Rarmrest,couch_Rarmrest,couch,other,couch3,cloth,cloth,cloth,teaching
P1_A12,Physical_Sciences,blank,blank,blank,other,blank,blank,blank,blank,teaching
P1_A2,Physical_Sciences,stair_handrail,stair_handrail,stair_handrail,other,"middle_Second to third floor from main lobby, right side",metal,metal,metal,teaching
P1_A3,Physical_Sciences,stair_handrail,stair_handrail,stair_handrail,other,"top_Second to third floor from main lobby, right side",metal,metal,metal,teaching
P1_A4,Physical_Sciences,elevator_DoorClose,elevator_Button,elevator_Button,other,Doorclose,metal,metal,metal,teaching
P1_A5,Physical_Sciences,elevator_callButton,elevator_Button,elevator_Button,other,callButton,metal,metal,metal,teaching
P1_A6,Physical_Sciences,elevator_floorButton,elevator_Button,elevator_Button,other,floorButton,metal,metal,metal,teaching
P1_A7,Physical_Sciences,elevatorFloor,floor,floor,floor,underButtons,cloth,cloth,cloth,teaching
P1_A8,Physical_Sciences,elevatorFloor,floor,floor,floor,middlePart,cloth,cloth,cloth,teaching
P1_A9,Physical_Sciences,couch_Rarmrest,couch_Rarmrest,couch,other,couch1,Wood,wood,wood,teaching
P1_B1,Physical_Sciences,floor_addIfOfficeOrLab,floor,floor,floor,room_nbr_306,metal,metal,metal,teaching
P1_B10,Physical_Sciences,floor_addIfOfficeOrLab,floor,floor,floor,room_nbr_405,metal,metal,metal,teaching
P1_B11,Physical_Sciences,floor_addIfOfficeOrLab,floor,floor,floor,room_nbr_304,metal,metal,metal,teaching
P1_B12,Physical_Sciences,blank,blank,blank,other,blank,blank,blank,blank,teaching
P1_B2,Physical_Sciences,floor_addIfOfficeOrLab,floor,floor,floor,room_nbr_310,metal,metal,metal,teaching
P1_B3,Physical_Sciences,floor_addIfOfficeOrLab,floor,floor,floor,room_nbr_309,metal,metal,metal,teaching
P1_B4,Physical_Sciences,floor_addIfOfficeOrLab,floor,floor,floor,room_nbr_305,metal,metal,metal,teaching
P1_B5,Physical_Sciences,floor_addIfOfficeOrLab,floor,floor,floor,room_nbr_303,metal,metal,metal,teaching
P1_B6,Physical_Sciences,floor_addIfOfficeOrLab,floor,floor,floor,room_nbr_307,metal,metal,metal,teaching
P1_B7,Physical_Sciences,floor_addIfOfficeOrLab,floor,floor,floor,room_nbr_438,metal,metal,metal,teaching
P1_B8,Physical_Sciences,floor_addIfOfficeOrLab,floor,floor,floor,room_nbr_435,metal,metal,metal,teaching
P1_B9,Physical_Sciences,floor_addIfOfficeOrLab,floor,floor,floor,room_nbr_433,metal,metal,metal,teaching
P1_C1,Physical_Sciences,door_handle_labOrOffice,handle,handle,other,room_nbr_209,metal,metal,metal,teaching
P1_C10,Physical_Sciences,buildingMap,buildingMap,buildingMap,other,location_Floor 1 by Tower Elevators,plastic,plastic,plastic,teaching
P1_C11,Physical_Sciences,Male Statue,Male Statue,other,other,Male statue in 2nd Floor lobby of PHSC,Wood,wood,wood,teaching
P1_C12,Physical_Sciences,blank,blank,blank,other,blank,blank,blank,blank,teaching
P1_C2,Physical_Sciences,door_handle_labOrOffice,handle,handle,other,room_nbr_306,metal,metal,metal,teaching
P1_C3,Physical_Sciences,door_handle_labOrOffice,handle,handle,other,room_nbr_434,metal,metal,metal,teaching
P1_C4,Physical_Sciences,building_door_handle,handle,handle,other,inner_most_doorLocation_Floor 1,metal,metal,metal,teaching
P1_C5,Physical_Sciences,building_door_handle,handle,handle,other,inner_most_doorLocation_Floor 2,metal,metal,metal,teaching
P1_C6,Physical_Sciences,building_door_handle,handle,handle,other,inner_most_doorLocation_Floor 2,metal,metal,metal,teaching
P1_C7,Physical_Sciences,floor_by_exit,floor,floor,floor,location_Floor 2,Tile(Stone),Tile(Stone),other,teaching
P1_C8,Physical_Sciences,floor_by_exit,floor,floor,floor,location_Floor 1,Tile(linoleum),linoleum,linoleum,teaching
P1_C9,Physical_Sciences,floor_by_exit,floor,floor,floor,location_Floor 1,rubber,rubber,other,teaching
P1_D1,Physical_Sciences,WomensRestroom_DoorHandle,handle,handle,other,location_Floor 2,Metal,metal,metal,teaching
P1_D10,Physical_Sciences,Table,counter_table,counter_table,other,Round table in public seating area of 2nd Floor lobby in PHSC,Wood,wood,wood,teaching
P1_D11,Physical_Sciences,Recycle Container Case,Recycle Container Case,other,other,Case enclosing multiple recycling containers. ,Wood,wood,wood,teaching
P1_D12,Physical_Sciences,blank,blank,blank,other,blank,blank,blank,blank,teaching
P1_D2,Physical_Sciences,MensRestroom_DoorHandle,handle,handle,other,location_Floor 2,Metal,metal,metal,teaching
P1_D3,Physical_Sciences,water_fountain,water_fountain,water_fountain,other,location_Floor 2,Metal,metal,metal,teaching
P1_D4,Physical_Sciences,water_fountain,water_fountain,water_fountain,other,location_Floor 4,Metal,metal,metal,teaching
P1_D5,Physical_Sciences,garbage_can,garbage_can,garbage_can,other,top_can1_Floor 3,plastic,plastic,plastic,teaching
P1_D6,Physical_Sciences,garbage_can,garbage_can,garbage_can,other,top_can2_Floor 4,plastic,plastic,plastic,teaching
P1_D7,Physical_Sciences,Floor 4 floor under water fountain,floor,floor,floor,Floor under water fountain on Floor 4,tile,linoleum,linoleum,teaching
P1_D8,Physical_Sciences,Female Statue,Female Statue,other,other,Female Statue in 2nd floor lobby of PHSC,Wood,wood,wood,teaching
P1_D9,Physical_Sciences,Table,counter_table,counter_table,other,Square table in public seating area of 2nd Floor lobby in PHSC,Wood,wood,wood,teaching
P2_A1,SRTC,stair_handrail,stair_handrail,stair_handrail,other,main_staircase_bottom,wood,wood,wood,research
P2_A10,SRTC,couch_Rarmrest,couch_Rarmrest,couch,other,couch3_left_chair,leather,leather,leather,research
P2_A11,SRTC,elevator_floorButton,elevator_Button,elevator_Button,other,floorButton,plastic,plastic,plastic,research
P2_A12,SRTC,blank,blank,blank,other,blank,blank,blank,blank,research
P2_A2,SRTC,stair_handrail,stair_handrail,stair_handrail,other,main_staircase_middle,wood,wood,wood,research
P2_A3,SRTC,stair_handrail,stair_handrail,stair_handrail,other,main_staircase_top,wood,wood,wood,research
P2_A4,SRTC,elevator_DoorClose,elevator_Button,elevator_Button,other,Doorclose,plastic,plastic,plastic,research
P2_A5,SRTC,elevator_callButton,elevator_Button,elevator_Button,other,callButton,plastic,plastic,plastic,research
P2_A6,SRTC,elevatorFloor,floor,floor,floor,underButtons,carpet,cloth,cloth,research
P2_A7,SRTC,elevatorFloor,floor,floor,floor,middlePart,carpet,cloth,cloth,research
P2_A8,SRTC,couch_Rarmrest,couch_Rarmrest,couch,other,couch1_center,leather,leather,leather,research
P2_A9,SRTC,couch_Rarmrest,couch_Rarmrest,couch,other,couch2_right_chair,leather,leather,leather,research
P2_B1,SRTC,floor_office,floor,floor,floor,1050,carpet,cloth,cloth,research
P2_B10,SRTC,floor_lab,floor,floor,floor,2050,tile,linoleum,linoleum,research
P2_B11,SRTC,floor_lab,floor,floor,floor,2030,carpet,cloth,cloth,research
P2_B12,SRTC,blank,blank,blank,other,blank,blank,blank,blank,research
P2_B2,SRTC,floor_lab,floor,floor,floor,1055A,concrete,concrete,other,research
P2_B3,SRTC,floor_office,floor,floor,floor,1120,tile,linoleum,linoleum,research
P2_B4,SRTC,floor_lab,floor,floor,floor,2140,carpet,cloth,cloth,research
P2_B5,SRTC,floor_lab,floor,floor,floor,2150,carpet,cloth,cloth,research
P2_B6,SRTC,floor_lab,floor,floor,floor,2130,carpet,cloth,cloth,research
P2_B7,SRTC,floor_lab,floor,floor,floor,2130-far_door,tile,linoleum,linoleum,research
P2_B8,SRTC,floor_lab,floor,floor,floor,2080,carpet,cloth,cloth,research
P2_B9,SRTC,floor_office,floor,floor,floor,2100,carpet,cloth,cloth,research
P2_C1,SRTC,door_handle_lab,handle,handle,other,2140,metal,metal,metal,research
P2_C10,SRTC,buildingMap,buildingMap,buildingMap,other,near_elevator_1st_floor,plastic,plastic,plastic,research
P2_C11,SRTC,core_class_touchscreen,core_class_touchscreen,other,other,touchscreen,glass,glass,other,research
P2_C12,SRTC,blank,blank,blank,other,blank,blank,blank,blank,research
P2_C2,SRTC,door_handle_lab,handle,handle,other,2150,metal,metal,metal,research
P2_C3,SRTC,door_handle_office,handle,handle,other,1050,metal,metal,metal,research
P2_C4,SRTC,building_door_handle,handle,handle,other,inner_most_main_exit,metal,metal,metal,research
P2_C5,SRTC,building_door_handle,handle,handle,other,inner_most_side_exit,metal,metal,metal,research
P2_C6,SRTC,building_door_handle,handle,handle,other,inner_most_delivery_entrance,metal,metal,metal,research
P2_C7,SRTC,floor_by_exit,floor,floor,floor,main_exit,carpet,cloth,cloth,research
P2_C8,SRTC,floor_by_exit,floor,floor,floor,side_exit,carpet,cloth,cloth,research
P2_C9,SRTC,floor_by_exit,floor,floor,floor,delivery_entrance,carpet,cloth,cloth,research
P2_D1,SRTC,WomensRestroom_DoorHandle,handle,handle,other,side_exit,metal,metal,metal,research
P2_D10,SRTC,dining_area_table,counter_table,counter_table,other,table_near_core_classroom,wood,wood,wood,research
P2_D11,SRTC,ancient_lab_1055A_doorhandle,handle,handle,other,outside_door_handle,metal,metal,metal,research
P2_D12,SRTC,blank,blank,blank,other,blank,blank,blank,blank,research
P2_D2,SRTC,MensRestroom_DoorHandle,handle,handle,other,side_exit,metal,metal,metal,research
P2_D3,SRTC,water_fountain,water_fountain,water_fountain,other,side_exit,plastic,plastic,plastic,research
P2_D4,SRTC,water_fountain,water_fountain,water_fountain,other,delivery_entrance,plastic,plastic,plastic,research
P2_D5,SRTC,garbage_can,garbage_can,garbage_can,other,top_can1_dining_area,metal,metal,metal,research
P2_D6,SRTC,garbage_can,garbage_can,garbage_can,other,top_can2_delivery_entrance,metal,metal,metal,research
P2_D7,SRTC,freezer_room_floor,floor,floor,floor,outside_floor,carpet,cloth,cloth,research
P2_D8,SRTC,freezer_room_doorhandle,handle,handle,other,outside_door_handle,metal,metal,metal,research
P2_D9,SRTC,conference_room_table,counter_table,counter_table,other,center_table,wood,wood,wood,research
P3_A1,5PP,stair_handrail,stair_handrail,stair_handrail,other,bottom,metal,metal,metal,office
P3_A10,5PP,couch_Rarmrest,couch_Rarmrest,couch,other,couch2,wood,wood,wood,office
P3_A11,5PP,couch_Rarmrest,couch_Rarmrest,couch,other,couch3,wood,wood,wood,office
P3_A12,5PP,blank,blank,blank,other,blank,blank,blank,blank,office
P3_A2,5PP,stair_handrail,stair_handrail,stair_handrail,other,middle,metal,metal,metal,office
P3_A3,5PP,stair_handrail,stair_handrail,stair_handrail,other,top,metal,metal,metal,office
P3_A4,5PP,elevator_DoorClose,elevator_Button,elevator_Button,other,Doorclose,plastic,plastic,plastic,office
P3_A5,5PP,elevator_callButton,elevator_Button,elevator_Button,other,callButton,plastic,plastic,plastic,office
P3_A6,5PP,elevator_floorButton,elevator_Button,elevator_Button,other,floorButton,plastic,plastic,plastic,office
P3_A7,5PP,elevatorFloor,floor,floor,floor,underButtons,tile,linoleum,linoleum,office
P3_A8,5PP,elevatorFloor,floor,floor,floor,middlePart,tile,linoleum,linoleum,office
P3_A9,5PP,couch_Rarmrest,couch_Rarmrest,couch,other,couch1,wood,wood,wood,office
P3_B1,5PP,floor_addIfOfficeOrLab,floor,floor,floor,3102,tile,linoleum,linoleum,office
P3_B10,5PP,floor_addIfOfficeOrLab,floor,floor,floor,2019,tile,linoleum,linoleum,office
P3_B11,5PP,floor_addIfOfficeOrLab,floor,floor,floor,2008,tile,linoleum,linoleum,office
P3_B12,5PP,blank,blank,blank,other,blank,blank,blank,blank,office
