	P2_A1	P2_A10	P2_A11	P2_A2	P2_A3	P2_A4	P2_A5	P2_A6	P2_A7	P2_A8	P2_A9	P2_B1	P2_B10	P2_B11	P2_B2	P2_B3	P2_B4	P2_B5	P2_B6	P2_B7	P2_B8	P2_B9	P2_C1	P2_C10	P2_C11	P2_C2	P2_C3	P2_C4	P2_C5	P2_C6	P2_C7	P2_C8	P2_C9	P2_D1	P2_D10	P2_D11	P2_D2	P2_D3	P2_D4	P2_D5	P2_D7	P2_D8	P2_D9	P3_A1	P3_A10	P3_A11	P3_A2	P3_A3	P3_A4	P3_A5	P3_A6	P3_A7	P3_A8	P3_A9	P3_B1	P3_B10	P3_B11	P3_B2	P3_B3	P3_B4	P3_B5	P3_B6	P3_B7	P3_B8	P3_B9	P3_C1	P3_C10	P3_C11	P3_C2	P3_C3	P3_C4	P3_C5	P3_C6	P3_C7	P3_C8	P3_C9	P3_D1	P3_D10	P3_D11	P3_D2	P3_D3	P3_D4	P3_D5	P3_D6	P3_D7	P3_D8	P3_D9	P4_A1	P4_A10	P4_A11	P4_A2	P4_A3	P4_A4	P4_A5	P4_A6	P4_A7	P4_A8	P4_A9	P4_B1	P4_B10	P4_B11	P4_B2	P4_B3	P4_B4	P4_B5	P4_B6	P4_B7	P4_B8	P4_B9	P4_C1	P4_C10	P4_C11	P4_C2	P4_C3	P4_C4	P4_C5	P4_C6	P4_C7	P4_C8	P4_C9	P4_D1	P4_D10	P4_D11	P4_D2	P4_D3	P4_D4	P4_D5	P4_D6	P4_D7	P4_D8	P4_D9	P5_A1	P5_A10	P5_A11	P5_A2	P5_A3	P5_A4	P5_A5	P5_A6	P5_A7	P5_A8	P5_A9	P5_B1	P5_B10	P5_B11	P5_B2	P5_B3	P5_B4	P5_B5	P5_B6	P5_B7	P5_B8	P5_B9	P5_C1	P5_C10	P5_C11	P5_C2	P5_C3	P5_C4	P5_C5	P5_C6	P5_C7	P5_C8	P5_C9	P5_D1	P5_D10	P5_D11	P5_D2	P5_D3	P5_D4	P5_D5	P5_D6	P5_D7	P5_D8	P5_D9
P2_A1	0.0	0.843322466444	0.79994075731	0.631414330969	0.69897810083	0.800704648874	0.78425762692	0.839750222126	0.804473085392	0.714848537389	0.746174785541	0.795897908263	0.834594638066	0.766464676454	0.838911337462	0.819266863678	0.801083783001	0.814002554957	0.826026277064	0.846304577222	0.813074610386	0.785270556478	0.788081687449	0.809802164436	0.791602270455	0.793334916021	0.723406516797	0.828324293816	0.939724746969	0.808941340741	0.804290415331	0.784611389622	0.86679138656	0.93593925975	0.792328700728	0.843072768342	0.80665472056	0.85520459335	0.820479088061	0.85208871419	0.820985132128	0.805978989541	0.78320407276	0.802587952345	0.818640641129	0.83153377827	0.807271676873	0.81548782265	0.908451433878	0.892961680304	0.89888603171	0.849826904605	0.858712182567	0.832065037949	0.802797983898	0.793699391447	0.870292177101	0.825974492837	0.820868027455	0.854397493604	0.879891235262	0.825167694843	0.850513702661	0.859544706734	0.816555591867	0.84542649183	0.943716374089	0.822546896538	0.899682930344	0.866369094964	0.778509910263	0.766736449769	0.861723531406	0.898377486391	0.850067831638	0.919466977313	0.765220093998	0.892767853133	0.93785502061	0.825321605923	0.855144366348	0.854966753775	0.892470263314	0.905410093344	0.793658549712	0.834245408639	0.940503908682	0.865628817546	0.794623807183	0.781726360945	0.885564644368	0.90179402583	0.744010936439	0.833867611378	0.823041733377	0.850285459753	0.831412152584	0.821369770992	0.869015533345	0.847542452345	0.848285954551	0.882558540322	0.865524243405	0.845255723729	0.851320395751	0.866655866214	0.881944026382	0.853216554141	0.844058807325	0.833316508773	0.800763994163	0.854317612693	0.853789769282	0.825099943821	0.960193888207	0.884535085768	0.856988171638	0.864663804435	0.852969784402	0.87260455106	0.809043161846	0.814415180303	0.854465451753	0.826158586023	0.803727549567	0.953045527169	0.908335400358	0.873336405674	0.910407569405	0.840868201729	0.84380667577	0.795663601682	0.747448605605	0.924198614944	0.867636466097	0.833404343599	0.791591595331	0.787446220703	0.771830673595	0.920720976165	0.878191467468	0.807252587332	0.847615355564	0.816679119487	0.796760084543	0.822896703579	0.798581493921	0.837003170594	0.807154693481	0.817584718008	0.876561771098	0.849646484189	0.838916983754	0.925801152576	0.833313346498	0.849227345449	0.814409307318	0.886592125682	0.77921376225	0.862681606483	0.877805181424	0.86372690351	0.908457700029	0.871887921486	0.708541118758	0.721567811248	0.903293799358	0.773390805885	0.892682510999	0.940959231784	0.811189242455	0.793147884183	0.844846466486	0.804325239471	0.767214998428
P2_A10	0.843322466444	0.0	0.873191732688	0.850600814643	0.799994045829	0.878831598225	0.862007419772	0.905597172277	0.89372509842	0.842531929554	0.766613397543	0.901472477639	0.922195535677	0.897988519622	0.896398978816	0.898843010817	0.891818402968	0.915088104411	0.888980936881	0.895014768911	0.907049059927	0.899632113094	0.905724642086	0.915940790519	0.901246998692	0.89393260747	0.890269478432	0.924170925336	0.951955922788	0.909951924212	0.895766841438	0.910638591661	0.91807852263	0.93780235322	0.923203809992	0.912260997805	0.886814848945	0.916587611007	0.923136307952	0.924047192034	0.919167509174	0.916273965605	0.901330164377	0.919964768832	0.833307628391	0.907224740205	0.921851807672	0.934841677976	0.946789465832	0.931160081385	0.940252514944	0.94307055981	0.947113568786	0.849973967455	0.931702357687	0.880209386663	0.936553876214	0.918575397786	0.93079453566	0.926506876032	0.953188014067	0.883558380454	0.905983844796	0.929682016711	0.893907320908	0.94492830138	0.965906642827	0.869878087242	0.959343390972	0.945891026305	0.869129633503	0.901667019948	0.923663606182	0.955748272199	0.948350546628	0.958556096388	0.881577419701	0.948658557279	0.96151144223	0.941848525043	0.935939252448	0.941087320208	0.95159523213	0.961718987249	0.913176025449	0.922461138389	0.960292200087	0.911268723374	0.885819675852	0.870692090814	0.931710977417	0.940849277539	0.892178041104	0.896169058495	0.929037063812	0.936316432353	0.917368722117	0.900419056622	0.921304200448	0.920412860499	0.943699130628	0.937241014501	0.935120766575	0.909218360637	0.911052920226	0.913848693415	0.936414042428	0.904628669881	0.917093268548	0.937248011173	0.921024110272	0.93280364218	0.93249599632	0.903983067329	0.972766836419	0.916880016665	0.895475786023	0.934585397146	0.937235194167	0.939092693186	0.913956934231	0.884625741461	0.931403437852	0.930654985684	0.902960486689	0.965740845002	0.951473570421	0.93859297711	0.933753951545	0.936345921588	0.913486576674	0.871744647643	0.865847278358	0.945494027672	0.894965409294	0.891937184475	0.878080903795	0.87373883055	0.893332672593	0.939383587395	0.929776927813	0.895565841158	0.934303703468	0.924583525358	0.907896439298	0.899191031926	0.900414237748	0.916174461685	0.91719666761	0.892910683292	0.92575787288	0.904268726736	0.894869450951	0.934456351745	0.913856646187	0.916904820907	0.863070009822	0.930330168313	0.926750166002	0.94855485899	0.938756712157	0.934915867809	0.932421662018	0.924040338956	0.871665716767	0.889268169138	0.906718519866	0.889926331415	0.960047610628	0.962115154542	0.89624548347	0.914195324305	0.925438900202	0.924992533715	0.903294181728
P2_A11	0.79994075731	0.873191732688	0.0	0.843781702715	0.817226221946	0.609430261476	0.556805990926	0.888297307016	0.866241096007	0.757649322699	0.835072303013	0.837230954312	0.892149041149	0.855742673491	0.83578726217	0.855181039726	0.85288119817	0.882012602238	0.894251238483	0.89713607605	0.872605840952	0.868991082385	0.742590095036	0.84706651477	0.806588530769	0.724366643981	0.720668673097	0.72997248768	0.926806426857	0.722475983802	0.843462048304	0.850794919796	0.880105207508	0.923726611129	0.866861072697	0.817730018609	0.751397757982	0.799646468014	0.765953688176	0.889225697795	0.797964927863	0.733571076931	0.804383099321	0.804621440715	0.874293718538	0.869084145781	0.811570559793	0.818707373504	0.869772859399	0.902983687372	0.860933311048	0.865935009681	0.895716346376	0.872665293836	0.855229777129	0.856689414997	0.893199503835	0.885812373096	0.880960470731	0.89560123503	0.916638441323	0.883085921617	0.890459946431	0.882636285592	0.862629534961	0.865106105833	0.943509031554	0.842017533062	0.911697700758	0.870822279294	0.757340651971	0.780040421381	0.887887358945	0.924374264493	0.887128305461	0.942307705223	0.783903959135	0.864013683652	0.918579385998	0.820781731521	0.853444665425	0.891006854424	0.925277781717	0.926427908271	0.840096712055	0.843869943112	0.94346909209	0.863670446496	0.817303946083	0.786472468552	0.863780806198	0.880779175114	0.722369525569	0.81168720432	0.821543667033	0.901755274865	0.858674368839	0.824455574193	0.896901290552	0.864429488144	0.891633677769	0.907460134511	0.842827278429	0.881740470919	0.904829428133	0.871278701409	0.877478956811	0.869687487135	0.875784980598	0.809944221286	0.852333967147	0.879452089137	0.850887971933	0.819005102301	0.957564481995	0.875814589089	0.865238666433	0.871674175518	0.890511995755	0.879280170842	0.831440054054	0.812487953693	0.812558309316	0.851254622447	0.849259484079	0.958604071684	0.928302871305	0.866928887755	0.899610923057	0.829380523949	0.869562454338	0.821128014536	0.833410535075	0.934081224054	0.877864448844	0.838893059563	0.820199297616	0.788128706792	0.779226206175	0.921074725287	0.893563542889	0.849021010089	0.846139772179	0.881691001503	0.859892547203	0.905022089323	0.885788176513	0.915072174298	0.867165934203	0.891459128995	0.902961783791	0.89193383344	0.902313159965	0.905931070673	0.872118076615	0.900570406492	0.809492489482	0.88627818608	0.807103318487	0.890258264067	0.902583393775	0.903114489971	0.913900631095	0.894564422118	0.782825302093	0.775730692076	0.911094739699	0.809697359957	0.909622479081	0.954245411167	0.841576065439	0.853074543589	0.894344377406	0.821770312753	0.748824383369
P2_A2	0.631414330969	0.850600814643	0.843781702715	0.0	0.729259791091	0.838898889006	0.838919967533	0.847110896057	0.815290420338	0.721144962953	0.820586379465	0.767935264685	0.784661490979	0.724509697598	0.757969924676	0.691665497544	0.773289160438	0.817260151181	0.786458457181	0.819189835771	0.789115335759	0.774813079648	0.82201929847	0.81360884441	0.762930553118	0.852803204331	0.790585934447	0.856921653203	0.94167475377	0.828661162261	0.776536891805	0.776218478576	0.835733952926	0.938829586274	0.784976321931	0.867881995075	0.850435343547	0.875914017349	0.854148742031	0.825234740304	0.818105773747	0.833009878729	0.727506899031	0.802261844723	0.832324597171	0.812325182278	0.784212137892	0.817958065539	0.922403698739	0.895783955486	0.917565472339	0.858620108987	0.856225903292	0.837687684982	0.825522157442	0.773800888191	0.888303983378	0.829603376149	0.852100998563	0.871962659574	0.887679161143	0.827900851562	0.860501357275	0.85805360516	0.817679594216	0.855991003929	0.939618290094	0.826426842289	0.894526256896	0.88831649932	0.782131288054	0.80507339873	0.876781175499	0.906455420358	0.864379504165	0.913565997084	0.783586812179	0.900821469346	0.935419358236	0.851404558575	0.846699701699	0.86684271517	0.88317526541	0.90048101862	0.749522634891	0.812006293138	0.94551811231	0.889134835927	0.786638785914	0.730715758505	0.898331055829	0.909369959926	0.772432091402	0.82374748531	0.824126892108	0.844073531793	0.816092141454	0.82475640481	0.865273937537	0.83457220102	0.837569311072	0.880938816274	0.857960410626	0.811255616604	0.836033885124	0.851892612756	0.858269478681	0.843169843503	0.845830117897	0.807153202501	0.792579076314	0.817170838422	0.875270544422	0.805262101343	0.956078578152	0.878538244058	0.838910968986	0.84272935566	0.846082944471	0.850984618799	0.763724815947	0.808344808565	0.857756598335	0.823648337735	0.80059873106	0.953114074573	0.901563271941	0.843370794732	0.908365704036	0.858243886585	0.862374017124	0.80958587528	0.798701683184	0.919284478598	0.878149812602	0.846144985022	0.80730730041	0.809939586176	0.819508966798	0.911192273834	0.862451714927	0.773818199876	0.839840643971	0.787858007341	0.793269976997	0.820920442555	0.785405218915	0.825559886688	0.788995739989	0.801708609186	0.858461115415	0.838876435717	0.825174202215	0.929064413358	0.8555204571	0.84600072874	0.826635454382	0.917500029629	0.795138256245	0.855877743654	0.901880677101	0.837163656137	0.901280911938	0.85123962969	0.779909841427	0.755579071821	0.909978805318	0.790883151198	0.871250521724	0.934758773846	0.803113822471	0.765689034326	0.85488881102	0.840226837573	0.801874716929
P2_A3	0.69897810083	0.799994045829	0.817226221946	0.729259791091	0.0	0.817627391042	0.792378556637	0.902488569692	0.879257480343	0.816625348323	0.814447021244	0.871808311654	0.893885668417	0.859882230178	0.893296571583	0.875588441589	0.864792412589	0.876695783929	0.867992670375	0.87690640206	0.88155453654	0.874195172099	0.822433559009	0.884889905443	0.870894466327	0.811224483981	0.783632121226	0.863897300902	0.937647298438	0.846997990218	0.871309081369	0.891094040947	0.909883006278	0.917676855173	0.881975501259	0.870306542387	0.831266788232	0.859194134066	0.821568939424	0.89483439666	0.884516286446	0.850744329306	0.849939463884	0.877996042722	0.853726189447	0.899884633801	0.872018016328	0.885626592579	0.926925731179	0.895395536394	0.92230622764	0.928050096378	0.920260923168	0.872670513401	0.896469257673	0.867012115125	0.907635690876	0.888188870516	0.890429246261	0.903756722455	0.923959749046	0.872658947869	0.891121039234	0.907255959094	0.888187210816	0.896772731126	0.954996900743	0.847475777132	0.9324545047	0.899071687608	0.791491310003	0.830635902393	0.900006379974	0.924505289318	0.913984141511	0.932393757501	0.821023301587	0.933281740027	0.952253257385	0.899281458771	0.898155503738	0.89490786404	0.942993959615	0.938808214865	0.879287072687	0.899177355068	0.951568018926	0.895570063299	0.84902484906	0.828628142337	0.906234100955	0.918114324303	0.821162194749	0.873471805203	0.88900226208	0.900036027205	0.892027301093	0.881160595245	0.903287016061	0.879405148866	0.913656020948	0.918805595294	0.901781707975	0.878451403552	0.890552198492	0.891423450083	0.920912417285	0.875554908043	0.884634888243	0.881129837025	0.879908535079	0.912463607063	0.891813796392	0.878411246356	0.959673043579	0.917377441624	0.900507089212	0.905699139626	0.906913759222	0.915589006967	0.859434894274	0.862440886092	0.904068520788	0.897734005369	0.870707398885	0.969354620876	0.940183805149	0.920558836083	0.933158200842	0.906708195754	0.89971106521	0.83230204443	0.777557654552	0.921616575946	0.880021135388	0.85859452566	0.812378312961	0.78910484666	0.812103184584	0.941266431747	0.922964417097	0.883579125392	0.909946315928	0.896730530043	0.888247840404	0.864519897606	0.8658032288	0.877423012399	0.896007377189	0.862407152558	0.919979291793	0.907616610015	0.869769007693	0.92196272371	0.870666989915	0.913884260197	0.837203970918	0.903388596658	0.846512752916	0.90379087065	0.914499271258	0.918286540596	0.923154672961	0.908232753887	0.7822048643	0.82710976978	0.915249658713	0.802215959246	0.922091175805	0.945627479173	0.893650503367	0.877481383199	0.883052428994	0.855581404214	0.825897314089
P2_A4	0.800704648874	0.878831598225	0.609430261476	0.838898889006	0.817627391042	0.0	0.677039404797	0.889086755056	0.863733649356	0.77192275161	0.824566432501	0.847855719131	0.890508344279	0.85676952957	0.873021928748	0.85378658684	0.858438610661	0.870755208859	0.900971058784	0.902166497528	0.869611182941	0.861337416193	0.78349483943	0.800156532574	0.777287171998	0.776132523433	0.669674514172	0.797361704737	0.939829259145	0.792604327782	0.840738943962	0.854884788445	0.890597145766	0.937311473409	0.856263008405	0.849752596813	0.788245449601	0.84683768338	0.80836509236	0.901542431742	0.848725608828	0.798338689095	0.807662379086	0.816982074579	0.883907088791	0.878455970378	0.836049638446	0.816879839421	0.899019008696	0.87178153987	0.84938478567	0.862214348362	0.881185490965	0.874516996215	0.844502814407	0.879855221587	0.87136712298	0.874553523553	0.860979114883	0.883131054544	0.910429539654	0.877847935531	0.879769075852	0.869003091769	0.886210890028	0.849246358713	0.921222513715	0.829575960945	0.875773670998	0.858895502958	0.776598868066	0.764463376104	0.862246778289	0.909114732241	0.864623255935	0.931719346273	0.784601003183	0.863614624513	0.904682213982	0.839695113169	0.86204508559	0.879762766851	0.926846583688	0.937690569883	0.837378386195	0.856442176059	0.926513918628	0.873407076432	0.817786660526	0.828316119462	0.898524320491	0.907063617611	0.715824776554	0.818888340003	0.812803710768	0.893868331454	0.863739745128	0.843569587915	0.898968348561	0.84792897672	0.884225561676	0.91317435614	0.881535429425	0.873197296778	0.896864489984	0.871562592788	0.885390873518	0.871692873231	0.868160618918	0.835687956071	0.831100825138	0.873529347668	0.871810507907	0.853976676856	0.941834480971	0.88141295811	0.857642010614	0.852954080212	0.878290348547	0.87461961061	0.816505084338	0.810533551964	0.837866147774	0.839004537963	0.835904430455	0.96143522732	0.928492517041	0.889533408572	0.911974492667	0.854382956324	0.868231548654	0.820189249348	0.791044201243	0.916168297309	0.869924665485	0.850846778507	0.803890504255	0.754770355968	0.780510180822	0.936889538747	0.907273269821	0.858773036172	0.885818745121	0.869014452569	0.869239264156	0.906934439409	0.886805538081	0.91369147226	0.864539447167	0.896918890532	0.912686143872	0.898361486594	0.894966124743	0.928567967762	0.835710242467	0.890982529666	0.825233807285	0.900171320809	0.80023391775	0.854192187941	0.876198986656	0.899369707978	0.931146160366	0.906565179102	0.771078176707	0.746097880554	0.910219668466	0.773236997832	0.887438968216	0.935516627582	0.845330383045	0.852948004882	0.858238989196	0.79166460241	0.792747950706
P2_A5	0.78425762692	0.862007419772	0.556805990926	0.838919967533	0.792378556637	0.677039404797	0.0	0.875645533539	0.859364015583	0.771515710583	0.82411662153	0.835136624672	0.897211393101	0.866437605752	0.860945940206	0.86748350284	0.861159235598	0.896266807966	0.889178322667	0.902685966325	0.871943009247	0.872286771334	0.718103593005	0.858621403896	0.82994546785	0.720496994046	0.704079594714	0.746787048545	0.920988227674	0.725819418849	0.864907667752	0.869587339339	0.883848981845	0.896546686477	0.868392821949	0.797380721178	0.701527969456	0.793605088794	0.794943947964	0.899264864669	0.801984977143	0.736049016474	0.829164699533	0.816334069358	0.872816624843	0.864556675037	0.809735406706	0.840877279718	0.868838992455	0.90740860041	0.871532541013	0.881107421065	0.904733971471	0.869978596042	0.860730869092	0.852011538268	0.897811988951	0.886278197787	0.891796261747	0.90181674895	0.919522498066	0.886859014117	0.889499361839	0.883714855687	0.855231265214	0.890321620474	0.952664635728	0.829979242824	0.930202515937	0.877077557045	0.728810778633	0.805762005747	0.89956434115	0.941201442037	0.910197753893	0.953465578336	0.805031093964	0.892397740776	0.930553200901	0.839281351562	0.887726391805	0.90144153933	0.940976846476	0.943135022503	0.849267248813	0.845337355398	0.9526325115	0.859408034192	0.804616976953	0.784341201351	0.864098446567	0.879031711626	0.758697206212	0.84026611015	0.837853851552	0.901115340592	0.872411661204	0.817644797032	0.891034166931	0.875872003071	0.912041331214	0.902115509999	0.878198664853	0.887491057173	0.901475347601	0.880832452879	0.896096386094	0.878562536653	0.887592476476	0.816647234944	0.877550328921	0.900838281593	0.860095693402	0.817147796555	0.967605951735	0.879917368597	0.875210703836	0.89997890129	0.913493186795	0.898286507959	0.847671149486	0.828827647838	0.852770373177	0.879308160423	0.866071571316	0.96249625223	0.935744970006	0.882886587988	0.889406039056	0.821571661821	0.860919218911	0.808163789998	0.809649999412	0.94082744273	0.857576616375	0.833396305322	0.794258305513	0.73485526155	0.772402017222	0.916037586372	0.905125803863	0.853049281616	0.881180836309	0.890488519321	0.866091896621	0.905416760248	0.889256373352	0.90312593216	0.875683109444	0.887319694456	0.905689607555	0.89425065957	0.89413659142	0.906844645824	0.878513836397	0.91015200549	0.804031787011	0.872995978206	0.812592858577	0.91011218674	0.916270970201	0.902266795078	0.913180966654	0.899053525436	0.786820030092	0.770148626399	0.902515566728	0.828599443689	0.912104304544	0.960626737129	0.849370587939	0.859019347348	0.895690202716	0.821942780733	0.751495617491
P2_A6	0.839750222126	0.905597172277	0.888297307016	0.847110896057	0.902488569692	0.889086755056	0.875645533539	0.0	0.5378215441	0.83021899721	0.861895657468	0.690799328358	0.755820093654	0.760149746529	0.814648562101	0.785536268289	0.718591125958	0.859247803112	0.747950641602	0.821989236746	0.740247436204	0.74994018781	0.907779436937	0.9152431353	0.879312258995	0.911224601096	0.881183289599	0.908842951422	0.932726000108	0.884986926405	0.767539175444	0.712498544256	0.709111606503	0.937122310875	0.881739003051	0.91940366006	0.909623143714	0.904386292211	0.913292561034	0.866177786517	0.724714157729	0.899715631421	0.862841766597	0.87735331419	0.870850597486	0.892970913631	0.876686265034	0.895117993982	0.930311458895	0.965948864172	0.940933506471	0.830279784022	0.874074230632	0.859250312669	0.860677538054	0.808131110294	0.935598981527	0.901619156339	0.911053565598	0.929375582893	0.915999854325	0.894231189409	0.909524002566	0.900767832212	0.816937164913	0.925112035423	0.971535892623	0.884085560419	0.955754729294	0.947192288494	0.866514159248	0.903288951066	0.939330833979	0.942161281859	0.904483390654	0.961725087326	0.861025208236	0.936138396721	0.963125087033	0.887072333547	0.93112672772	0.938766499073	0.890885566823	0.894637307602	0.82774926326	0.788966318952	0.970755289205	0.871673778351	0.868771547084	0.826078520736	0.898991666725	0.901340452209	0.869618723392	0.912031083814	0.907878531667	0.85231034687	0.805853470754	0.853720594223	0.832482275438	0.838056088086	0.879580915529	0.87918550508	0.856056377504	0.845594237449	0.877343656011	0.849190013791	0.828990898602	0.850633117008	0.884146713538	0.880374102669	0.8754198576	0.875040688824	0.895767320208	0.865227444768	0.986429785923	0.856015936889	0.844343810403	0.863789151433	0.901000806381	0.867389033093	0.889616857396	0.831328370616	0.887548647929	0.899579220024	0.849211885497	0.907586681547	0.887771545308	0.859672652406	0.86910406251	0.882487786371	0.862515890791	0.841854199113	0.907807567683	0.965784550667	0.884470532683	0.860017030903	0.904784743347	0.886880673482	0.878880432397	0.839381176122	0.796262502476	0.856597812233	0.801593915662	0.773791870019	0.801016972633	0.796385702815	0.806806518203	0.799228273993	0.77092659524	0.760765278738	0.75581034818	0.76927204386	0.780829526418	0.913546761422	0.928653824296	0.86356676331	0.85974235241	0.911432729603	0.892321132681	0.941587745925	0.950596170435	0.767550578157	0.816049449651	0.778482377419	0.881874433454	0.867209323291	0.925123344525	0.920224773938	0.949111032935	0.975692470417	0.812090505691	0.834214675399	0.940949116948	0.91961179096	0.869749370623
P2_A7	0.804473085392	0.89372509842	0.866241096007	0.815290420338	0.879257480343	0.863733649356	0.859364015583	0.5378215441	0.0	0.79104568879	0.837841211155	0.63825938804	0.7215908551	0.68895668593	0.78587698087	0.731998593303	0.675524719569	0.822781344666	0.738151749113	0.790396702967	0.703195347113	0.701397329422	0.889345306713	0.890917373067	0.847592046309	0.896237350863	0.845951802715	0.89008234153	0.936311944477	0.860461953985	0.687925932177	0.648104742925	0.710731298165	0.937449474665	0.854150896148	0.894647190259	0.892741489995	0.895046882635	0.895851429115	0.848256767307	0.702716287342	0.880887915373	0.824361342527	0.851035753698	0.857567753561	0.87694037725	0.849849826108	0.861604872713	0.918126238164	0.955072271995	0.91915688784	0.813164721663	0.844507567374	0.840603888204	0.830173641008	0.800908621938	0.915986078209	0.875342032576	0.872903548304	0.908363505933	0.890415765279	0.868611552846	0.892229197352	0.869149453652	0.812545103016	0.902277848726	0.961209169634	0.858130151448	0.942422567225	0.927511415167	0.844902284647	0.877246571477	0.918079629515	0.91996966723	0.8739933959	0.946693213934	0.8319294668	0.915306280973	0.952464901633	0.863685870075	0.908806026206	0.917332912396	0.87680760313	0.883680918166	0.779960234448	0.758607312729	0.957506687593	0.8653516564	0.84202914611	0.801289843655	0.894918191717	0.901239927624	0.826942458879	0.887269005743	0.878444176334	0.82454770093	0.775305300917	0.834619110283	0.815817027617	0.783719389466	0.845572249958	0.873376073266	0.827586493573	0.810920470159	0.847996731947	0.816098680813	0.811209126899	0.808807572198	0.845874996741	0.855378705948	0.833401083002	0.85609620236	0.867354077125	0.840115708236	0.980400153136	0.855909651228	0.830477093455	0.818193173704	0.865890161871	0.83471728486	0.858306515188	0.798961709216	0.872609616354	0.869501527948	0.81098848838	0.928866080554	0.894474966654	0.829850883508	0.884236694286	0.853486347393	0.859430773733	0.825869110387	0.884518152156	0.954534672372	0.886616446976	0.848738268399	0.879306042233	0.856661328701	0.850216412861	0.861570167471	0.795346113716	0.828202751	0.77488477216	0.726970643633	0.759663770155	0.764642778164	0.772702808856	0.785137650735	0.735966215297	0.754803370804	0.784920598048	0.758858795151	0.751472801392	0.917019778621	0.905792778548	0.84809777487	0.835591571496	0.907801076332	0.852544575939	0.921440633943	0.935842618655	0.770329714418	0.833101860116	0.781475421106	0.8528561088	0.836062758069	0.919990701463	0.894680249301	0.927937969758	0.967205370544	0.785752348467	0.809060962435	0.918893960212	0.900500918606	0.851350617872
P2_A8	0.714848537389	0.842531929554	0.757649322699	0.721144962953	0.816625348323	0.77192275161	0.771515710583	0.83021899721	0.79104568879	0.0	0.753566108248	0.747052345297	0.84344323871	0.785788086928	0.785244297797	0.786657575627	0.792606418688	0.860598484524	0.843823739649	0.843441782532	0.827451363786	0.812523577942	0.824592079463	0.839057928292	0.700914008942	0.838443923245	0.76990767976	0.833741192552	0.936591602128	0.786247787877	0.783738007606	0.779459118405	0.838536694519	0.938089363461	0.835792221388	0.853408654634	0.835240955997	0.880147374939	0.880082457543	0.859302756239	0.809243995421	0.82049307508	0.758878015635	0.755794390085	0.811369671519	0.790655438947	0.773680145141	0.766570190542	0.863448905738	0.912853300213	0.841633025747	0.793667258804	0.87237325527	0.806325532289	0.812839867031	0.759609960999	0.87584322417	0.835650922787	0.849781826311	0.868384963877	0.897575728013	0.83062546463	0.856378309858	0.844492805382	0.797991236458	0.834709201829	0.940208780015	0.820683829618	0.901516886256	0.861012277104	0.770614271157	0.780015465133	0.890515480771	0.908146626055	0.860581697824	0.931380282756	0.7605446807	0.851052167758	0.918093231412	0.818691667686	0.855344121467	0.875918560041	0.891675117116	0.899249298741	0.745213720655	0.768946872707	0.940692444746	0.858743399945	0.782926840874	0.702898874243	0.865575159956	0.8795900873	0.743386163999	0.798605632436	0.795668390604	0.871825692907	0.832312747662	0.800636250924	0.86811284057	0.832768043096	0.847460693844	0.896783499419	0.832949742988	0.842615841808	0.874523049191	0.846362751252	0.842166749614	0.844671011625	0.856557177451	0.774227146943	0.815413233977	0.855895656619	0.852628229836	0.780985821745	0.960371842359	0.880718647189	0.846578701831	0.829031092557	0.863202977364	0.841896508422	0.785293408515	0.758519101452	0.809746252102	0.790718970724	0.815238157472	0.953705173468	0.909397442427	0.822764456135	0.893933791133	0.786738155569	0.852381634358	0.777719959337	0.807803288526	0.92151333429	0.874777698654	0.831415020922	0.811186668139	0.788841875734	0.784042928641	0.898621774143	0.870724845229	0.786612391686	0.812189179382	0.819476407963	0.78292010788	0.854746010857	0.817370789384	0.864936245496	0.797353153104	0.820100964829	0.860619991181	0.853709365351	0.829246779921	0.90896136065	0.861277764549	0.859219670645	0.805466162256	0.889136595824	0.782111823156	0.873297425068	0.88755731063	0.855063951064	0.886628906615	0.85751062826	0.772087891388	0.737913851609	0.90706683213	0.82810380992	0.889005817672	0.942834204805	0.778006692953	0.801235860871	0.884764735974	0.824076497316	0.743361007707
